organization,address,website,phone,fax,email,languages,information,category
Denfenders Of The Chrstian Faith ,"10 E Cottage St, Boston, MA 02119",www.defendersboston.org/#home,617-445-2008,,,English ,Sunday at 10:00AM Sunday at 12:15AM,Religious Institutions 
Deliverence Faith Tabernacle ,"102 Lawrence Ave, Boston, MA 02121",,617-427-4217,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Eglise De Dieu Sinai,"28 Palmer St, Roxbury, MA 02119",,617-296-5998,,,English & French ,Services: N/A. Cost:N/A,Religious Institutions 
Eliot Church Of Roxbury ,120 Walnut Avenue Roxbury MA 02119,,617-445-7525,,,English,Services: N/A. Cost:N/A,Religious Institutions 
Emmanuel Temple Pentecostal Church ,"471 Warren St, Boston, MA 02121",,617-442-8500,,,English,Services: N/A. Cost:N/A,Religious Institutions 
End Time Prophetic Deliverance Center,"455 Blue Hill Ave, Roxbury, MA 02121-4301",,,,,English,Services: N/A. Cost:N/A,Religious Institutions 
Ethiopian Evangelical Church In Boston,"2566 Washington St, Roxbury, MA 02119",www.eecboston.org/2014/index.php/en/,617-427-1440,,,English,Sunday 10AM-12:30PM,Religious Institutions 
Faro Divinio (Free Methotist Church),"203 Blue Hill Avenue, Boston, MA 02119",,617-652-7078,,,English & Spanish ,Services: N/A. Cost:N/A,Religious Institutions 
First Church In Roxbury ,"10 Putnam Street Roxbury, MA 02119",www.uuum.org,617-318-6010,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
First Haitian Church in Dorchester,"397 Blue Hill Ave, Dorchester MA 02121",,617-427-4103,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
First Parish Church in Dorchester ,10 Parish St. Dorchester MA 02122,firstparishdorchester.org,617-436-0527,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Garden Of Prayer Cogic ,"84 Blue Hil Ave, Roxbury, MA 02119",,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Global Reach Evangelical Missionary Church ,"95 Freeport Street, Suite 2, Dorchester, MA 02122",hcfboston.com,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Good Shephard Church Of God ,Po Box 191129 Roxbury MA 02119,,617-445-6016,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Grace & Hope Missionary Church ,"1900 Columbus Avenue Roxbury, MA 02119",,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Heart Change Fellowship,906 Albany St. Roxbury MA 02119,hcfboston.com,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Holy Tabernacle Church Of God In Christ Apostolic,"70 Washington St, Dorchester, MA 02121",www.holytab.org,617-427-8510 --or- 617-427-8022,,,English ,"MON: 7:00-8:30pm. Support Group TUES: Noon-1:00 pm - Hour of Faith, Prayer and Power 7:30 pm - Evening Worship Service WED: 6:00pm Prayer and Intercession 7:00pm - Bible Study THUR: Noon-1:00pm Hour of Faith, Prayer and Power FRI: 6:30 pm Youth Night Out' 1st & 3rd Fridays SAT: 10:00am Christian Education. Cost:N/A",Religious Institutions 
Holy Temple Church ,"14 Lambert Avenue Roxbury,MA 02119",,617-445-2990,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Houe Of Judah Ministries ,"26 Waumbeck St, Roxbury, MA 02119",,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
"Iglesia Defendsores De La Fe, Segunda","428 Blue Hill Ave, Roxbury, MA 02130-2600",,,,,English & Spanish ,Services: N/A. Cost:N/A,Religious Institutions 
Iglesia Samria Evangelica,"367 Dudley St, Roxbury MA 02119",,617-541-9117,,,English & Spanish ,Services: N/A. Cost:N/A,Religious Institutions 
Jesus Help Baptist Church ,"165 Blue Hill Avenue Roxbury, MA 02119",,617-442-3133,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Life Changing Evangelistic ,"166 Blue Hill Avenue Roxbury, MA 02119",,617-442-3134,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Lucy Stone House (Uu Community Cooperatives),28 Moreland St Boston MA 02119,uucommunitycoops.org/lsc,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Manning Temple Holy Church Of Love ,"36 Lawrence Ave, Boston MA 02121",,617-442-7573,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Margaret Moseley House (Uu Community Cooperatives) ,89 Munroe St Boston MA 02119,uucommunitycoops.org/margaret-moseley-cooperative,617-238-5051,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Masjid-Al-Quran,"35 Intervale Street, Dorchester , MA 02121",,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Mosque For Praising Allah ,"724 Shawmut Ave, Boston, MA 02119",www.mosquepraiseallah.com,617-442-2805,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Mount Calvary Holy Church Of America ,"9 Otisfield St, Roxbury, MA 02121",,617-427-7596,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Muhammad's Mosque #11,"10 Washington St, Dorchester, MA 02121",,617-442-6082,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
New Faith Missionary Baptist Church ,"66 Geneva Ave, Dorchester MA 02121",,617-445-8200,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
New Life Resurrection Baptist Church ,"27 Howland St, Roxburym MA 02121",,617-442-8398,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
New Vision Church International ,"232 Columbia Road, Dorchester, MA 02121",,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Nueva Vida ,"263 Eustic St., Roxbury, MA 02119",,,,,English & Spanish ,Services: N/A. Cost:N/A,Religious Institutions 
Pabellon De La Fe Church ,"3134 Washington St, Roxbury MA 02119",,,,,English & Spanish ,Services: N/A. Cost:N/A,Religious Institutions 
Pleasant Hill Baptist Church,"155 Humboldt Ave, Dorchester MA 02121",,617-427-0905,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Presbyterian Church Of Roxbury ,"328 Warren Street Roxbury, MA 02119",www.roxburypresbyterianchurch.org,617-445-2116,,,English ,Sundays 11:00am. Cost: N/A,Religious Institutions 
Prima Iglesia De Jesus Christo,"547 Dudley St, Roxbury Ma 02119",,617-427-2718,,,English & Spanish ,Services: N/A. Cost:N/A,Religious Institutions 
Purpose Living Restoration Ministries ,"165 Blue Hill Avenue Roxbury, MA 02119",,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Refuge Church Of Christ ,"46 Millmont Street, Roxbury MA 02119",,617-445=3878,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Refuge Temple Church of Jesus Christ Apostolic ,"37 Winthrop Street Roxbury, MA 02119",,617-427-3399,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Resurrection Lutheran Church,"94 Warren St, Boston, MA 02119",,617-427-2066,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Rising Star Pentecostal Church ,"2 Otisfield Street, Boston, MA 02121",,617-541-4335,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Saint Josephs Church ,"85 Regent Street, Roxbury, MA 02119",,617-442-0900,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Saint Paul Church Of God In Christ ,"236 Blue Hill Aveune Roxbury, MA 02119",,617-445-8957,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Salem Hispanic Seventh Day Adventist Church ,"46 Forest St, Roxbury, MA 02119",,617-427-6631,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Sermon On The Mount Baptist Church ,"147 Moreland Street, Roxbury, MA 02119",,617-445-9961,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Southern Baptist Church ,"29 Winthrop Street, Roxbury, MA 02119",,617-445-6354,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
St Mark Congregational Church ,"200 Townsend St, Dorchster, MA 02121",www.macucc.org,617-442-0481,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
St Mary Of The Angels Church ,"377 Walnut Ave, Roxbury MA 02119",www.rc.net/boston/stmaryoftheangels,617-445-1524,,,English & Spanish ,Sunday at 9:00 AM in English. Sunday at 11:00 AM in Spanish. Cost:N/A,Religious Institutions 
St Patrick's ,"10 Magazine St, Roxbury, MA 02119",www.saintpatricksroxbury.com,617-445-7645,,,"English, Cape Verdean & Spanish",Sunday at 9:30 AM in Cape Verdean Sunday at 10:45 AM. Sunday at 12:00 PM in Spanish. Cost:N/A,Religious Institutions 
St. James African Orthodox Church,"50 Cedar St, Roxbury, MA 02119",,617-445-5698,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
St John Missionary Baptist Church,"230 Warren St, Roxbury, MA 02119",www.sjmb.bos.org,617-427-5205,,,English ,Sunday School 9:00. Monday Worship 11:00am. Cost: N/A,Religious Institutions 
St. Katherine Drexel ,"517 Blue Hill Ave, Boston, MA ",,617-445-8915,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
St Mark Episcopal Church ,"73 Columbia Rd, Boston MA 02121",,617-436-4319,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
St Mark Pentecostal House Of Prayer For All People ,"99 Wayland St, Boston, MA 02125",,617-442-8338,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
St Patricks Catholic Church ,"400 Dudley St, Roxbury, MA 02119",www.saintpatricksroxbury.com,,,,English/Spanish & Portuguese,"English: Saturday- 4:30 PM, Sunday-10:45AM. Spanish:Sunday-12:00 PM. Cape Verdean: Saturday-^:00pm, Sunday- 9:30AM. Cost:N/A",Religious Institutions 
Strong Tower Church ,"115 Warren Street, Roxbury, MA 02119",,,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Tabernacle Of Prayer Apostolic Church,"26 Winthrop St, Roxbury, MA 02119",,617-323-4550,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
"The Apostolic Church International, Usa, Boston Assembly","62 Batchelder St, Roxbury, MA 02119",tacboston.org,617-541-0266,,,English ,Youth Service: 9am-10:15. Cost:N/A,Religious Institutions 
The Eliot Congregational Church Of Roxbury ,"56 Dale St, Roxbury, MA 02119",eliotroxbur.org,617-445-7525,,,English ,Sundays 11:00am. Cost: N/A,Religious Institutions 
Timothy Baptist Church ,"35 Highland Avenue, Roxbury MA 02119",www.timothybaptistchurchma.com,617-445-3820,,,English ,Sunday School 9:30am. Morning Worship 11:00am. Cost: N/A,Religious Institutions 
Twelfth Baptist Church ,"150 Warren Street Roxbury, MA 02119",www.tbcboston.org,617-442-7855,,,English ,Sundays 10:45am. Cost:N/A,Religious Institutions 
Unitarian Universalist Association,"24 Farnsworth St, Boston, MA 02210",,617-742-2100,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
United Community Church ,"116 Roxbury Street, Roxbury MA 02119",,617-427-8192,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
United House Of Prayer ,"206 Seaver St, Dorchester MA 02121",,617-442-0105,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Warren Street Baptist Church ,"334 Warren Street, Roxbury, MA",,617-427-1715,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Word Of Life Tabernacle ,"120 Amory Street, Roxbury, MA 02119",,617-514-4080,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
Zion Fire Bapitzed Holiness Church Of God of The Amercias,"165 Dudley St, Roxbury MA 02119",,617-442-5948,,,English ,Services: N/A. Cost:N/A,Religious Institutions 
BC High- Jesuit High School Boston,Barry Hynes (President's assistant) 150 Morrissey Boulevard Boston MA 02125,www.bchigh.edu/home,617-275-6078,,bhynes@bchigh.edu,English ,Services and justice initiatives (part of curriculum) Cost:N/A,Schools
Boston Day & Evening Academy (BDEA) Wheatley Building ,"20 Kearsage Ave, Roxbury MA 02119",www.bacademy.org,,,,English ,"Boston Day and Evening Academy re-engages off-track students in their education preparing them for high school graduation, post-secondary sucess and meaningful participation in their community. Cost: N/A ",Schools
Boston Latin Academy ,"205 Townsend Street, Boston, 02121",latinacademy.org ,617-635-9957,,,English ,Grades 7-12. The mission of Boston Latin Academy is to prepare students for higher academic study by challenging them with rigorous curriculum. Cost:N/A,Schools
Community Academy of Science and Health,"11 Charles St, Dorchester, MA 02122",www.bostonpublicschools.org/cash,617-635-8950,,,English ,C.A.S.H is a community-empowered Academy that prepareds studetns from diverse backgrounds to pursue advanced studies and careers inthe fields of science and health. Cost:N/A,Schools
Dearborn 6-12 - Burke High School Bldg. ,"60 Washington St. Dorchester, MA 02121",dearbornstemacademy.org,617-635-8412,,,English & Creole,"Grades 6-12. Dearborn prepares students for the ever-evolving landscape of college, career and life opportunitis engaging them in tasks that are modeled upon what professionals do in their fields. Cost:N/A",Schools
Dr. Williams W. Henderson K-12 Inclusion School ,1669 Dorchester Ave. Dorchester MA 02122,www.bostonpublicschools.org/page/829,617-635-8725,,,English ,"The Henderson is Boston's only fully inclusive K-12 school. Students involved in general education, students with disabilities, and students considered talents and gifted learn together and from each other. Teachers and support staff team to help children learn and succeed. We offer a comprehensive curriculum with enriched arts experiences. Our greatest achievement is the progress of our students as demonstrated by the quality of their wor, positive interactions, art displays, performances. Cost:N/A",Schools
Jeremiah E. Burke High School,"60 Washington St. Dorchester, MA 02121",www.jebhs.org,617-635-9837,,,English ,The Mission of the Burke High School is to encourage a rigorous pursuit of academic excellence and social development to promote life-long learning and realize the personal goals and ambitions of all students. Cost:N/A,Schools
Central Boston Elder Services ,"2315 Washington Street Roxbury, MA 02119",,617-277-7416,,,English ,Helps Boston area seniors remain in their homes by providing short and long-term care. Programs and services are offered to help seniors remain self-sufficient and are available to residents living in Allston and other Boston towms in Boston. Cost:N/A,Senior Services
Nuestra Communidad,"56 Warren Steet Boston, MA 02119",www.nuestracdc.org,617-427-3599 -or- 617-989-0894,,,English ,"Housing Resource Services Programs: This program provides outreach, information and assitance, advocacy and placement services to homeless elders, at-risk elders and grandparents raising grandchildren. Cost:N/A",Senior Services
Bird Street Community Center,"500 Columbia Rd. Dorchester, MA 02125",www.birdstreet.org,Alicia Linton: 617-282-6110,,alinton@birdstreet.org,English ,"Youth Development Programs: Workforce Development, Athletics & Recreations, Personal Development & Support and Academics. Cost:Low Cost",Youth Services
Boston Center for Youth and Families ,"1483 Tremont Street Boston, MA 02120",www.boston.gov/departments/boston-centers-youth-families,617-635-4920,,BCYF@cityofboston.gov,"English, Spanish, Haitian Creole, Portuguese & Vietnamese","Adult Education, Afterschool Programs, Aquatics, Camp Joy, Girls Initiative, Streetworker Program, Summer Programs & Teen Programs.  ",Youth Services
Boston Public Libraries,,www.bpl.org/branches/indexbyneighborhood.html,BPL Directory: 617-536-5400 Barbara Rhodes: 617-859-2325,,,English ,"Homework Help is in session through May 25, 2017, Monday-Thursday, 3:30-5:30 p.m, at most branches. Please contactyour branch to inquire about their Homework Help schedule. No registration is required. Cost:Free",Youth Services
Boston Youth Zone,"1483 Tremont St Roxbury, MA 02120",www.youth.boston.gov,617-635-4202,,,English ,Summer emplyment Youth mentoring programs Lifeguard training. Cost:N/A,Youth Services
Catholic Charities/ Tenn Center,"Teen Center at St. Peter's 278 Bowdoin St. Dorchester, MA 02122",http://www.ccab.org/?q=TeenCenter,617-282-3614,,,"English, Cape Verdean Creole","Tutoring, and mentoring Serve children grades 7-12 After school programs 2pm-9pm, Summer programs 6am-11pm, summer camp. Cost:N/A",Youth Services
"Community Rowing, INC.","Tiffany Macon 20 Nonantum Road Brighton, MA 02135",www.communityrowing.org,617-779-8277,,,English,"Year round program to improve academic achievement. Dsigned for middle schools to add rowing to PE. (4-6wk programs, row machines, boathouse field trips) Free Summer camps. Cost:N/A",Youth Services
Enhancing Potential Inspiring Change (EPIC),,www.jhextramile.com/introducing-epic-enhancing-potential-inspiring-change,Program Director Melisa Canuto 617-516-5403,,mcanute@bgcd.org,English,"Partnership between the Mayor's office of Public Safety and John Hancock Boys and Girls Club (BGCB's YouthConnect). 12 month program, aimed at increasing self-awareness, and confidence. 11-14year olds. Curriculum is focused on career exploration, cultivating leadership, with supportive community based services. (Free of Charge) Summer programs, and bi-weekly workshops during the school year. Monetary stipend of $800 for positive participation and attendance. Cost:N/A",Youth Services
Inquilinos Boricuas en Accion (IBA),"405 Shawmut Ave.,Boston, MA 02118",ibaboston.org,617-927-1707,,info@ibaboston.org,English & Spanish ,"Programs: Preschool Porgram, Afterschool & Summer Learning, Youth Development, College and Workforce, Arts Program, Resident Services, Community Technology Center & Sustainable Housing. Cost:N/A",Youth Services
Northern Essex Community College,"360  Merrimack Street Building 9, Entry K, 3rd Floor Lawrence, MA 01843",www.necc.mass.edu/academics/prep/adult-literacy/programs-offered/transition-programs/,Lynn Ricketts-Program Coordinator: 978-659-1272 Lynda MacDonald- Educational and Career Advisor: 978-659-1284,,mricketss@nexx.mass.edu imacdonald1@necc.mass.edu,English ,ABE Transition to College Program. Cost:Free,Youth Services
Y.O. Unlimited ,"7 Palmer Street, Roxbury, MA 02119",www.youboston.org,617-541-2600,,,English ,YOU Boston provides a positive social environment for young people to develop and access professional and academic networks. Cost:N/A,Youth Services
